packet_id,snr_db,tx_time,rx_time,hops_used
266,8.25,1781084285.4605079,1781084286.270708,0
267,5.25,1781084286.572103,1781084287.4000719,0
268,2.75,1781084287.6836538,1781084288.457003,0
269,4.5,1781084288.790533,1781084289.609411,0
270,10.75,1781084289.9021928,1781084290.775856,1
271,0.75,1781084291.010834,1781084291.849494,0
272,2.75,1781084292.119734,1781084293.055259,1
273,-0.5,1781084293.22829,1781084294.012467,0
274,-4.0,1781084294.336305,1781084295.1482081,0
275,5.5,1781084295.4421408,1781084296.235188,0
276,8.5,1781084296.5493948,1781084297.477493,1
277,1.75,1781084297.6610339,1781084298.484303,0
278,-1.0,1781084298.768415,1781084299.55932,0
279,-6.0,1781084299.873047,1781084300.731199,0
280,-5.5,1781084300.976845,1781084301.7563689,0
281,1.75,1781084302.085052,1781084302.8931499,0
282,3.0,1781084303.19019,1781084303.969305,0
283,-2.25,1781084304.2949278,1781084305.103811,0
284,10.75,1781084305.40032,1781084306.336749,1
285,-0.75,1781084306.508779,1781084307.268184,0
286,4.25,1781084307.620057,1781084308.378453,0
287,-4.0,1781084308.726645,1781084309.487299,0
289,-3.5,1781084310.942179,1781084311.7301571,0
290,2.0,1781084312.049848,1781084312.846708,0
291,1.0,1781084313.159729,1781084313.926222,0
292,-2.75,1781084314.27129,1781084315.036639,0
293,11.0,1781084315.380231,1781084316.302741,1
294,10.0,1781084316.488684,1781084317.501238,1
295,-4.5,1781084317.590057,1781084318.358123,0
296,-2.0,1781084318.697571,1781084319.4673128,0
297,-1.0,1781084319.804205,1781084320.591435,0
298,-3.75,1781084320.911315,1781084321.704635,0
299,2.0,1781084322.023041,1781084322.779563,0
300,4.75,1781084323.134573,1781084323.962832,0
301,-3.0,1781084324.243934,1781084325.0134258,0
302,-5.0,1781084325.355492,1781084326.125838,0
303,10.25,1781084326.460483,1781084327.448715,1
304,-0.5,1781084327.567181,1781084328.350841,0
305,9.5,1781084328.6787388,1781084329.6001139,1
306,10.25,1781084329.7903202,1781084330.684305,1
307,1.0,1781084330.8957498,1781084331.6648629,0
308,2.5,1781084331.999598,1781084332.8298619,0
309,6.0,1781084333.105141,1781084333.869514,0
310,11.5,1781084334.21083,1781084335.105836,1
311,4.75,1781084335.317462,1781084336.088604,0
